Rank,Player,Position,2016 team,2017 team,Rank change,Reference,Year accomplishments
54,Janoris Jenkins,Cornerback,New York Giants,,NR,54,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro"
55,Ndamukong Suh,Defensive tackle,Miami Dolphins,,15,55,"- 5th Pro Bowl selection
   - 2nd-Team AP All-Pro"
56,Cliff Avril,Defensive end,Seattle Seahawks,,NR,56,- 1st Pro Bowl selection
57,Jameis Winston,Quarterback,Tampa Bay Buccaneers,,NR,57,
58,Zack Martin,Guard,Dallas Cowboys,,NR,58,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro"
59,Josh Norman,Cornerback,Washington Redskins,,48,59,
60,Dez Bryant,Wide receiver,Dallas Cowboys,,9,60,- 3rd Pro Bowl selection
61,T.Y. Hilton,Wide receiver,Indianapolis Colts,,NR,61,"- 3rd Pro Bowl selection
   - Receiving yards leader"
62,Cameron Wake,Defensive end,Miami Dolphins,,NR,62,"- 5th Pro Bowl selection
   - 2nd-Team AP All-Pro"
63,Chris Harris Jr.,Cornerback,Denver Broncos,,11,63,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro"
64,Casey Hayward,Cornerback,San Diego / Los Angeles Chargers,,NR,64,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro
   - Interceptions leader"
65,Jordan Reed,Tight end,Washington Redskins,,12,65,- 1st Pro Bowl selection
66,Xavier Rhodes,Cornerback,Minnesota Vikings,,NR,66,- 1st Pro Bowl selection
67,Greg Olsen,Tight end,Carolina Panthers,,29,67,"- 3rd Pro Bowl selection
   - 2nd-Team AP All-Pro"
68,Geno Atkins,Defensive tackle,Cincinnati Bengals,,39,68,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro"
69,Jay Ajayi,Running back,Miami Dolphins,,NR,69,- 1st Pro Bowl selection
70,Kirk Cousins,Quarterback,Washington Redskins,,15,70,- 1st Pro Bowl selection
71,Julian Edelman,Wide receiver,New England Patriots,,16,71,- Super Bowl champion (2nd time)
72,Taylor Lewan,Offensive tackle,Tennessee Titans,,NR,72,- 1st Pro Bowl selection
73,Philip Rivers,Quarterback,San Diego / Los Angeles Chargers,,27,73,- 6th Pro Bowl selection
74,Harrison Smith,Safety,Minnesota Vikings,,1,74,- 2nd Pro Bowl selection
75,Delanie Walker,Tight end,Tennessee Titans,,7,75,- 2nd Pro Bowl selection
76,Justin Houston,Linebacker,Kansas City Chiefs,,50,76,
77,Ha Ha Clinton-Dix,Safety,Green Bay Packers,,NR,77,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro"
78,Brian Orakpo,Linebacker,Tennessee Titans,,NR,78,- 4th Pro Bowl selection
79,Sean Lee,Linebacker,Dallas Cowboys,,NR,79,"- 2nd Pro Bowl selection
   - 1st-Team AP All-Pro"
80,LeGarrette Blount,Running back,New England Patriots,Philadelphia Eagles,NR,80,"- Rushing touchdowns leader
   - Super Bowl champion (2nd time)"
81,Alex Smith,Quarterback,Kansas City Chiefs,,0,81,- 2nd Pro Bowl selection
82,Clay Matthews,Linebacker,Green Bay Packers,,25,82,
83,Calais Campbell,Defensive end,Arizona Cardinals,Jacksonville Jaguars,12,83,- 2nd-Team AP All-Pro
84,Mike Daniels,Defensive tackle,Green Bay Packers,,11,84,
85,Chandler Jones,Linebacker,Arizona Cardinals,,37,85,
86,Jurrell Casey,Defensive tackle,Tennessee Titans,,NR,86,- 2nd Pro Bowl selection
87,Travis Frederick,Center,Dallas Cowboys,,NR,87,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro"
88,Doug Baldwin,Wide receiver,Seattle Seahawks,,16,88,- 1st Pro Bowl selection
89,Thomas Davis,Linebacker,Carolina Panthers,,35,89,- 2nd Pro Bowl selection
90,Malcolm Jenkins,Safety,Philadelphia Eagles,,NR,90,- No. 107 in the 2016 chart[2]
91,Lorenzo Alexander,Linebacker,Buffalo Bills,,NR,91,"- 2nd Pro Bowl selection
   - 2nd-Team AP All-Pro"
92,Everson Griffen,Defensive end,Minnesota Vikings,,NR,92,- 2nd Pro Bowl selection
93,Brandon Graham,Defensive end,Philadelphia Eagles,,NR,93,- 2nd-Team AP All-Pro
94,Dont'a Hightower,Linebacker,New England Patriots,,NR,94,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro
   - Super Bowl champion (2nd time)"
95,Kelechi Osemele,Guard,Oakland Raiders,,NR,95,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro"
96,Damon Harrison,Defensive tackle,New York Giants,,NR,96,- 1st-Team AP All-Pro
97,David DeCastro,Guard,Pittsburgh Steelers,,NR,97,"- 2nd Pro Bowl selection
   - 2nd-Team AP All-Pro"
98,Adrian Peterson,Running back,Minnesota Vikings,New Orleans Saints/Arizona Cardinals,93,98,
99,Malcolm Butler,Cornerback,New England Patriots,,NR,99,"- 2nd-Team AP All-Pro
   - Super Bowl champion (2nd time)"
100,Joey Bosa,Defensive end,San Diego / Los Angeles Chargers,,NR,100,"- 3rd overall pick in the 2016 NFL Draft
   - AP DROY"
