Rank,Player,Position,2019 team,2020 team,Rank change,Reference,Year accomplishments
87,Josh Allen,Quarterback,Buffalo Bills,,NR,[87],"- Most rushing touchdowns amongst quarterbacks (9)
   - 3rd most rushing yards amongst quarterbacks (510 yards, Lamar Jackson, 
   Kyler Murray)
   - Most fourth-quarter comebacks in the season (4, tied with Jimmy 
   Garoppolo and Russell Wilson)
   - Most game winning drives in the season (5, tied with Russell Wilson)"
88,Jaylon Smith,Linebacker,Dallas Cowboys,,27,[88],"- 2nd consecutive season with 121+tackles, 2+ sacks, 2 forced fumbles 
   and 1 fumble recovery"
89,Cooper Kupp,Wide receiver,Los Angeles Rams,,NR,[89],"- 2nd most receiving touchdowns in the season (10)
   - Most receiving yards in a single international game (220 yards in 
   London)"
90,Kyler Murray,Quarterback,Arizona Cardinals,,NR,[90],"- AP NFL Offensive Rookie of the Year
   - 2nd-most rushing yards amongst quarterbacks (544 yards)"
91,Grady Jarrett,Defensive tackle,Atlanta Falcons,,NR,[91],"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - 3rd consecutive season with 4+sacks, 52+ combined tackles and 8+ 
   tackles-for-losses"
92,Darius Slay,Cornerback,Detroit Lions,Philadelphia Eagles,6,[92],"- Most passes defensed since 2013 (104)
   - 6th consecutive season with 13+ passes defensed and 2+ interceptions"
93,Allen Robinson,Wide receiver,Chicago Bears,,NR,[93],"- First Chicago Bears player to reach 1,000 receiving yards since 2014."
94,Jason Kelce,Center,Philadelphia Eagles,,22,[94],"- 3rd Pro Bowl selection
   - 3rd First-team All-Pro selection
   - Played in every offensive snap, only Eagles offensive lineman to do so"
95,Frank Clark,Defensive end,Kansas City Chiefs,,10,[95],"- 1st Pro Bowl selection
   - Super Bowl champion (1st time)
   - 4th consecutive season with 8+ sacks, 2+ forced fumble and 1+ fumble 
   recovery"
96,Chris Carson,Running back,Seattle Seahawks,,NR,[96],"- 2nd consecutive season with 1,150+ rushing yards and 9 total touchdowns"
97,Budda Baker,Safety,Arizona Cardinals,,NR,[97],"- Leading tackler amongst safeties (147)
   - 2nd Pro Bowl selection"
98,Brandon Brooks,Guard,Philadelphia Eagles,,NR,[98],- 3rd consecutive Pro Bowl selection
99,Darren Waller,Tight end,Oakland / Las Vegas Raiders,,NR,[99],"- 2nd most receiving yards amongst tight ends (1,145)
   - 2nd most receptions amongst tight ends (90)"
100,Lavonte David,Linebacker,Tampa Bay Buccaneers,,NR,[100],- 2nd consecutive season of 120+ tackles
