Rank,Player,Position,2015 team,2016 team,Rank change,Reference
33,Doug Martin,Running back,Tampa Bay Buccaneers,,NR,33
34,Aqib Talib,Cornerback,Denver Broncos,,NR,34
35,Andy Dalton,Quarterback,Cincinnati Bengals,,NR,35
36,DeMarcus Ware,Linebacker,Denver Broncos,,51,36
37,Marshal Yanda,Guard,Baltimore Ravens,,42,37
38,Greg Olsen,Tight end,Carolina Panthers,,51,38
39,Muhammad Wilkerson,Defensive end,New York Jets,,35,39
40,Ndamukong Suh,Defensive tackle,Miami Dolphins,,16,40
41,Le'Veon Bell,Running back,Pittsburgh Steelers,,25,41
42,Tyron Smith,Offensive tackle,Dallas Cowboys,,6,42
43,Ezekiel Ansah,Defensive end,Detroit Lions,,NR,43
44,Tyler Eifert,Tight end,Cincinnati Bengals,,NR,44
45,Trent Williams,Offensive tackle,Washington Redskins,,2,45
46,Philip Rivers,Quarterback,San Diego Chargers,,3,46
47,Eli Manning,Quarterback,New York Giants,,NR,47
48,Chandler Jones,Defensive end,New England Patriots,Arizona Cardinals,NR,48
49,Fletcher Cox,Defensive tackle,Philadelphia Eagles,,NR,49
50,Devonta Freeman,Running back,Atlanta Falcons,,NR,50
51,Dez Bryant,Wide receiver,Dallas Cowboys,,36,51
52,Chris Harris Jr.,Cornerback,Denver Broncos,,NR,52
53,Lavonte David,Linebacker,Tampa Bay Buccaneers,,3,53
54,Thomas Davis Sr.,Linebacker,Carolina Panthers,,NR,54
55,Eric Berry,Safety,Kansas City Chiefs,,NR,55
56,Blake Bortles,Quarterback,Jacksonville Jaguars,,NR,56
57,Clay Matthews,Linebacker,Green Bay Packers,,6,57
58,Kawann Short,Defensive tackle,Carolina Panthers,,NR,58
59,Michael Bennett,Defensive end,Seattle Seahawks,,31,59
60,Reggie Nelson,Safety,Cincinnati Bengals,Oakland Raiders,NR,60
61,NaVorro Bowman,Linebacker,San Francisco 49ers,,NR,61
62,Demaryius Thomas,Wide receiver,Denver Broncos,,42,62
63,Gerald McCoy,Defensive tackle,Tampa Bay Buccaneers,,35,63
64,Reshad Jones,Safety,Miami Dolphins,,NR,64
65,Marcus Peters,Cornerback,Kansas City Chiefs,,NR,65
66,Earl Thomas,Safety,Seattle Seahawks,,45,66
67,Andrew Whitworth,Offensive tackle,Cincinnati Bengals,,NR,67
68,T.J. Ward,Safety,Denver Broncos,,NR,68
69,LeSean McCoy,Running back,Buffalo Bills,,40,69
70,Carlos Dunlap,Defensive end,Cincinnati Bengals,,NR,70
71,Calais Campbell,Defensive end,Arizona Cardinals,,28,71
72,Doug Baldwin,Wide receiver,Seattle Seahawks,,NR,72
73,Harrison Smith,Safety,Minnesota Vikings,,NR,73
74,Emmanuel Sanders,Wide receiver,Denver Broncos,,21,74
75,Jamaal Charles,Running back,Kansas City Chiefs,,63,75
76,Linval Joseph,Defensive tackle,Minnesota Vikings,,NR,76
77,Jordan Reed,Tight end,Washington Redskins,,NR,77
78,Chris Ivory,Running back,New York Jets,Jacksonville Jaguars,NR,78
79,Ryan Kalil,Center,Carolina Panthers,,NR,79
80,Derrick Johnson,Linebacker,Kansas City Chiefs,,NR,80
81,Alex Smith,Quarterback,Kansas City Chiefs,,NR,81
82,Delanie Walker,Tight end,Tennessee Titans,,NR,82
83,Telvin Smith,Linebacker,Jacksonville Jaguars,,NR,83
84,Tamba Hali,Linebacker,Kansas City Chiefs,,14,84
85,Kirk Cousins,Quarterback,Washington Redskins,,NR,85
86,Jonathan Stewart,Running back,Carolina Panthers,,NR,86
87,Julian Edelman,Wide receiver,New England Patriots,,4,87
88,Cameron Heyward,Defensive end,Pittsburgh Steelers,,NR,88
89,Allen Hurns,Wide receiver,Jacksonville Jaguars,,NR,89
90,Matt Forte,Running back,Chicago Bears,New York Jets,42,90
91,Travis Kelce,Tight end,Kansas City Chiefs,,NR,91
92,Andrew Luck,Quarterback,Indianapolis Colts,,85,92
93,Jeremy Maclin,Wide receiver,Kansas City Chiefs,,32,93
94,Gary Barnidge,Tight end,Cleveland Browns,,NR,94
95,Mike Daniels,Defensive tackle,Green Bay Packers,,NR,95
96,Sammy Watkins,Wide receiver,Buffalo Bills,,NR,96
97,Richie Incognito,Guard,Buffalo Bills,,NR,97
98,Jarvis Landry,Wide receiver,Miami Dolphins,,NR,98
99,Cameron Jordan,Defensive end,New Orleans Saints,,NR,99
100,Derek Carr,Quarterback,Oakland Raiders,,NR,100
