Rank,Player,Position,2013 Team,2014 Team,Rank Change,Reference
66,Cameron Wake,Defensive end,Miami Dolphins,,23,66
67,Jason Peters,Offensive tackle,Philadelphia Eagles,,NR,67
68,Jared Allen,Defensive end,Minnesota Vikings,Chicago Bears,8,68
69,Justin Smith,Defensive end,San Francisco 49ers,,40,69
70,Nick Foles,Quarterback,Philadelphia Eagles,,NR,70
71,Tony Romo,Quarterback,Dallas Cowboys,,NR,71
72,Antrel Rolle,Safety,New York Giants,,NR,72
73,Wes Welker,Wide receiver,Denver Broncos,,29,73
74,Tim Jennings,Cornerback,Chicago Bears,,5,74
75,Joe Staley,Offensive tackle,San Francisco 49ers,,3,75
76,Von Miller,Linebacker,Denver Broncos,,67,76
77,Clay Matthews,Linebacker,Green Bay Packers,,46,77
78,Tyron Smith,Offensive tackle,Dallas Cowboys,,NR,78
79,Aqib Talib,Cornerback,New England Patriots,Denver Broncos,NR,79
80,Pierre Garçon,Wide receiver,Washington Redskins,,NR,80
81,Colin Kaepernick,Quarterback,San Francisco 49ers,,0,81
82,T. J. Ward,Safety,Cleveland Browns,Denver Broncos,NR,82
83,Jordy Nelson,Wide receiver,Green Bay Packers,,NR,83
84,Kiko Alonso,Linebacker,Buffalo Bills,,NR,84
85,Reggie Bush,Running back,Detroit Lions,,NR,85
86,Duane Brown,Offensive tackle,Houston Texans,,38,86
87,DeMarco Murray,Running back,Dallas Cowboys,,NR,87
88,Evan Mathis,Guard,Philadelphia Eagles,,NR,88
89,Charles Clay,Tight end,Miami Dolphins,,NR,89
90,Eddie Lacy,Running back,Green Bay Packers,,NR,90
91,Matt Forte,Running back,Chicago Bears,,NR,91
92,Eric Weddle,Safety,San Diego Chargers,,NR,92
93,Ryan Kalil,Center,Carolina Panthers,,NR,93
94,Sheldon Richardson,Defensive tackle,New York Jets,,NR,94
95,Brent Grimes,Cornerback,Miami Dolphins,,NR,95
96,Daryl Washington,Linebacker,Arizona Cardinals,,2,96
97,Louis Vasquez,Guard,Denver Broncos,,NR,97
98,Jason Witten,Tight end,Dallas Cowboys,,57,98
99,Cameron Jordan,Defensive end,New Orleans Saints,,NR,99
100,Matthew Stafford,Quarterback,Detroit Lions,,24,100
