Rank,Player,Position,2010 Team,2011 Team,Reference,Year,2012 Team,Rank Change,2013 Team,2014 Team,2015 Team,2015 team,2016 team,Rank change,2017 team,Year accomplishments,2018 team,2019 team,2020 team
56,Ray Rice,Running back,Baltimore Ravens,,56.0,2010.0,,,,,,,,,,,,,
57,Andre Gurode,Center,Dallas Cowboys,Baltimore Ravens,57.0,2010.0,,,,,,,,,,,,,
58,Brandon Lloyd,Wide receiver,Denver Broncos,Denver Broncos / St. Louis Rams,58.0,2010.0,,,,,,,,,,,,,
59,Jeff Saturday,Center,Indianapolis Colts,,59.0,2010.0,,,,,,,,,,,,,
60,Justin Tuck,Defensive end,New York Giants,,60.0,2010.0,,,,,,,,,,,,,
61,Brandon Marshall,Wide receiver,Miami Dolphins,,61.0,2010.0,,,,,,,,,,,,,
62,Jerod Mayo,Linebacker,New England Patriots,,,2010.0,,,,,,,,,,,,,
63,Cameron Wake,Defensive end,Miami Dolphins,,63.0,2010.0,,,,,,,,,,,,,
64,Tamba Hali,Defensive end,Kansas City Chiefs,,64.0,2010.0,,,,,,,,,,,,,
65,Vonta Leach,Fullback,Houston Texans,Baltimore Ravens,65.0,2010.0,,,,,,,,,,,,,
66,Richard Seymour,Defensive tackle,Oakland Raiders,,66.0,2010.0,,,,,,,,,,,,,
67,Brian Waters,Guard,Kansas City Chiefs,New England Patriots,67.0,2010.0,,,,,,,,,,,,,
68,Antrel Rolle,Safety,New York Giants,,,2010.0,,,,,,,,,,,,,
69,John Abraham,Defensive end,Atlanta Falcons,,69.0,2010.0,,,,,,,,,,,,,
70,Miles Austin,Wide receiver,Dallas Cowboys,,70.0,2010.0,,,,,,,,,,,,,
71,Mario Williams,Defensive end,Houston Texans,,71.0,2010.0,,,,,,,,,,,,,
72,Tony Romo,Quarterback,Dallas Cowboys,,72.0,2010.0,,,,,,,,,,,,,
73,Trent Cole,Defensive end,Philadelphia Eagles,,,2010.0,,,,,,,,,,,,,
74,Greg Jennings,Wide receiver,Green Bay Packers,,74.0,2010.0,,,,,,,,,,,,,
75,Jay Ratliff,Defensive tackle,Dallas Cowboys,,75.0,2010.0,,,,,,,,,,,,,
76,Santonio Holmes,Wide receiver,New York Jets,,76.0,2010.0,,,,,,,,,,,,,
77,Chris Snee,Guard,New York Giants,,77.0,2010.0,,,,,,,,,,,,,
78,Dallas Clark,Tight end,Indianapolis Colts,,78.0,2010.0,,,,,,,,,,,,,
79,D'Brickashaw Ferguson,Offensive tackle,New York Jets,,,2010.0,,,,,,,,,,,,,
80,Jared Allen,Defensive end,Minnesota Vikings,,80.0,2010.0,,,,,,,,,,,,,
81,B. J. Raji,Defensive tackle,Green Bay Packers,,81.0,2010.0,,,,,,,,,,,,,
82,LaMarr Woodley,Linebacker,Pittsburgh Steelers,,,2010.0,,,,,,,,,,,,,
83,Mike Williams,Wide receiver,Tampa Bay Buccaneers,,83.0,2010.0,,,,,,,,,,,,,
84,Josh Cribbs,Wide receiver,Cleveland Browns,,84.0,2010.0,,,,,,,,,,,,,
85,Jason Babin,Defensive end,Tennessee Titans,Philadelphia Eagles,,2010.0,,,,,,,,,,,,,
86,Josh Freeman,Quarterback,Tampa Bay Buccaneers,,86.0,2010.0,,,,,,,,,,,,,
87,Jordan Gross,Offensive tackle,Carolina Panthers,,,2010.0,,,,,,,,,,,,,
88,Vernon Davis,Tight end,San Francisco 49ers,,88.0,2010.0,,,,,,,,,,,,,
89,Adrian Wilson,Safety,Arizona Cardinals,,89.0,2010.0,,,,,,,,,,,,,
90,Joe Flacco,Quarterback,Baltimore Ravens,,,2010.0,,,,,,,,,,,,,
91,Terrell Owens,Wide receiver,Cincinnati Bengals,None,,2010.0,,,,,,,,,,,,,
92,Lance Briggs,Linebacker,Chicago Bears,,,2010.0,,,,,,,,,,,,,
93,Eric Berry,Safety,Kansas City Chiefs,,,2010.0,,,,,,,,,,,,,
94,Frank Gore,Running back,San Francisco 49ers,,94.0,2010.0,,,,,,,,,,,,,
95,Jon Beason,Linebacker,Carolina Panthers,,,2010.0,,,,,,,,,,,,,
96,Nick Collins,Safety,Green Bay Packers,,96.0,2010.0,,,,,,,,,,,,,
97,Shaun Phillips,Linebacker,San Diego Chargers,,,2010.0,,,,,,,,,,,,,
98,Darren McFadden,Running back,Oakland Raiders,,98.0,2010.0,,,,,,,,,,,,,
99,Chad Clifton,Offensive tackle,Green Bay Packers,,,2010.0,,,,,,,,,,,,,
100,Donovan McNabb,Quarterback,Washington Redskins,Minnesota Vikings,,2010.0,,,,,,,,,,,,,
1,Aaron Rodgers,Quarterback,,Green Bay Packers,1,2011.0,,10,,,,,,,,,,,
2,Drew Brees,Quarterback,,New Orleans Saints,2,2011.0,,7,,,,,,,,,,,
3,Calvin Johnson,Wide receiver,,Detroit Lions,3,2011.0,,24,,,,,,,,,,,
4,Tom Brady,Quarterback,,New England Patriots,4,2011.0,,3,,,,,,,,,,,
5,Darrelle Revis,Cornerback,,New York Jets,5,2011.0,,3,,,,,,,,,,,
6,DeMarcus Ware,Linebacker,,Dallas Cowboys,6,2011.0,,6,,,,,,,,,,,
7,Larry Fitzgerald,Wide receiver,,Arizona Cardinals,7,2011.0,,7,,,,,,,,,,,
8,Adrian Peterson,Running back,,Minnesota Vikings,8,2011.0,,5,,,,,,,,,,,
9,Haloti Ngata,Defensive tackle,,Baltimore Ravens,9,2011.0,,8,,,,,,,,,,,
10,Patrick Willis,Linebacker,,San Francisco 49ers,10,2011.0,,13,,,,,,,,,,,
11,Terrell Suggs,Linebacker,,Baltimore Ravens,11,2011.0,,29,,,,,,,,,,,
12,Maurice Jones-Drew,Running back,,Jacksonville Jaguars,12,2011.0,,18,,,,,,,,,,,
13,Jared Allen,Defensive end,,Minnesota Vikings,13,2011.0,,67,,,,,,,,,,,
14,Jimmy Graham,Tight end,,New Orleans Saints,14,2011.0,,NR,,,,,,,,,,,
15,Andre Johnson,Wide receiver,,Houston Texans,15,2011.0,,8,,,,,,,,,,,
16,Ed Reed,Safety,,Baltimore Ravens,16,2011.0,,11,,,,,,,,,,,
17,Justin Smith,Defensive end,,San Francisco 49ers,17,2011.0,,NR,,,,,,,,,,,
18,LeSean McCoy,Running back,,Philadelphia Eagles,18,2011.0,,NR,,,,,,,,,,,
19,Troy Polamalu,Safety,,Pittsburgh Steelers,19,2011.0,,13,,,,,,,,,,,
20,Ray Lewis,Linebacker,,Baltimore Ravens,20,2011.0,,16,,,,,,,,,,,
21,Rob Gronkowski,Tight end,,New England Patriots,21,2011.0,,NR,,,,,,,,,,,
22,Ray Rice,Running back,,Baltimore Ravens,22,2011.0,,34,,,,,,,,,,,
23,Wes Welker,Wide receiver,,New England Patriots,23,2011.0,,27,,,,,,,,,,,
24,Jason Pierre-Paul,Defensive end,,New York Giants,24,2011.0,,NR,,,,,,,,,,,
25,Arian Foster,Running back,,Houston Texans,25,2011.0,,0,,,,,,,,,,,
26,Julius Peppers,Defensive end,,Chicago Bears,26,2011.0,,16,,,,,,,,,,,
27,Clay Matthews,Linebacker,,Green Bay Packers,27,2011.0,,8,,,,,,,,,,,
28,Frank Gore,Running back,,San Francisco 49ers,28,2011.0,,66,,,,,,,,,,,
29,James Harrison,Linebacker,,Pittsburgh Steelers,29,2011.0,,8,,,,,,,,,,,
30,Ben Roethlisberger,Quarterback,,Pittsburgh Steelers,30,2011.0,,11,,,,,,,,,,,
31,Eli Manning,Quarterback,,New York Giants,31,2011.0,,NR,,,,,,,,,,,
32,Jahri Evans,Guard,,New Orleans Saints,32,2011.0,,2,,,,,,,,,,,
33,Matt Forte,Running back,,Chicago Bears,33,2011.0,,NR,,,,,,,,,,,
34,Tamba Hali,Defensive end,,Kansas City Chiefs,34,2011.0,,30,,,,,,,,,,,
35,Steve Smith,Wide receiver,,Carolina Panthers,35,2011.0,,NR,,,,,,,,,,,
36,Charles Woodson,Cornerback,,Green Bay Packers,36,2011.0,,20,,,,,,,,,,,
37,Steven Jackson,Running back,,St. Louis Rams,37,2011.0,,1,,,,,,,,,,,
38,Ndamukong Suh,Defensive tackle,,Detroit Lions,38,2011.0,,13,,,,,,,,,,,
39,Victor Cruz,Wide receiver,,New York Giants,39,2011.0,,NR,,,,,,,,,,,
40,Cam Newton,Quarterback,,Carolina Panthers,40,2011.0,,NR,,,,,,,,,,,
41,Matthew Stafford,Quarterback,,Detroit Lions,41,2011.0,,NR,,,,,,,,,,,
42,Jason Peters,Offensive tackle,,Philadelphia Eagles,42,2011.0,,NR,,,,,,,,,,,
43,Vernon Davis,Tight end,,San Francisco 49ers,43,2011.0,,45,,,,,,,,,,,
44,Jason Babin,Defensive end,,Philadelphia Eagles,44,2011.0,Philadelphia Eagles / Jacksonville Jaguars,41,,,,,,,,,,,
45,Vonta Leach,Fullback,,Baltimore Ravens,45,2011.0,,20,,,,,,,,,,,
46,Champ Bailey,Cornerback,,Denver Broncos,46,2011.0,,2,,,,,,,,,,,
47,Mike Wallace,Wide receiver,,Pittsburgh Steelers,47,2011.0,,NR,,,,,,,,,,,
48,Devin Hester,Wide receiver,,Chicago Bears,48,2011.0,,16,,,,,,,,,,,
49,Maurkice Pouncey,Center,,Pittsburgh Steelers,49,2011.0,,NR,,,,,,,,,,,
50,Peyton Manning,Quarterback,,Indianapolis Colts,50,2011.0,Denver Broncos,48,,,,,,,,,,,
51,Brian Urlacher,Linebacker,,Chicago Bears,51,2011.0,,2,,,,,,,,,,,
52,Von Miller,Linebacker,,Denver Broncos,52,2011.0,,NR,,,,,,,,,,,
53,Tony Gonzalez,Tight end,,Atlanta Falcons,53,2011.0,,7,,,,,,,,,,,
54,Brian Cushing,Linebacker,,Houston Texans,54,2011.0,,NR,,,,,,,,,,,
55,Patrick Peterson,Cornerback,,Arizona Cardinals,55,2011.0,,NR,,,,,,,,,,,
56,Greg Jennings,Wide receiver,,Green Bay Packers,56,2011.0,,18,,,,,,,,,,,
57,Trent Cole,Defensive end,,Philadelphia Eagles,57,2011.0,,16,,,,,,,,,,,
58,Jonathan Vilma,Linebacker,,New Orleans Saints,58,2011.0,,21,,,,,,,,,,,
59,Jake Long,Offensive tackle,,Miami Dolphins,59,2011.0,,31,,,,,,,,,,,
60,Darren McFadden,Running back,,Oakland Raiders,60,2011.0,,38,,,,,,,,,,,
61,Philip Rivers,Quarterback,,San Diego Chargers,61,2011.0,,35,,,,,,,,,,,
62,Justin Tuck,Defensive end,,New York Giants,62,2011.0,,2,,,,,,,,,,,
63,LaMarr Woodley,Linebacker,,Pittsburgh Steelers,63,2011.0,,19,,,,,,,,,,,
64,Logan Mankins,Guard,,New England Patriots,64,2011.0,,25,,,,,,,,,,,
65,Roddy White,Wide receiver,,Atlanta Falcons,65,2011.0,,41,,,,,,,,,,,
66,Earl Thomas,Safety,,Seattle Seahawks,66,2011.0,,NR,,,,,,,,,,,
67,Joe Staley,Offensive tackle,,San Francisco 49ers,67,2011.0,,NR,,,,,,,,,,,
68,Elvis Dumervil,Defensive end,,Denver Broncos,68,2011.0,,NR,,,,,,,,,,,
69,Carlos Rogers,Cornerback,,San Francisco 49ers,69,2011.0,,NR,,,,,,,,,,,
70,Michael Vick,Quarterback,,Philadelphia Eagles,70,2011.0,,50,,,,,,,,,,,
71,DeSean Jackson,Wide receiver,,Philadelphia Eagles,71,2011.0,,42,,,,,,,,,,,
72,Lance Briggs,Linebacker,,Chicago Bears,72,2011.0,,20,,,,,,,,,,,
73,Johnathan Joseph,Cornerback,,Houston Texans,73,2011.0,,NR,,,,,,,,,,,
74,Joe Flacco,Quarterback,,Baltimore Ravens,74,2011.0,,16,,,,,,,,,,,
75,Jason Witten,Tight end,,Dallas Cowboys,75,2011.0,,39,,,,,,,,,,,
76,Carl Nicks,Guard,,New Orleans Saints,76,2011.0,Tampa Bay Buccaneers,21,,,,,,,,,,,
77,A. J. Green,Wide receiver,,Cincinnati Bengals,77,2011.0,,NR,,,,,,,,,,,
78,Derrick Johnson,Linebacker,,Kansas City Chiefs,78,2011.0,,NR,,,,,,,,,,,
79,Nnamdi Asomugha,Cornerback,,Philadelphia Eagles,79,2011.0,,61,,,,,,,,,,,
80,Jordy Nelson,Wide receiver,,Green Bay Packers,80,2011.0,,NR,,,,,,,,,,,
81,Vince Wilfork,Defensive tackle,,New England Patriots,81,2011.0,,46,,,,,,,,,,,
82,Joe Thomas,Offensive tackle,,Cleveland Browns,82,2011.0,,39,,,,,,,,,,,
83,Fred Jackson,Running back,,Buffalo Bills,83,2011.0,,NR,,,,,,,,,,,
84,Chris Long,Defensive end,,St. Louis Rams,84,2011.0,,NR,,,,,,,,,,,
85,NaVorro Bowman,Linebacker,,San Francisco 49ers,85,2011.0,,NR,,,,,,,,,,,
86,Darren Sproles,Running back,,New Orleans Saints,86,2011.0,,NR,,,,,,,,,,,
87,London Fletcher,Linebacker,,Washington Redskins,87,2011.0,,NR,,,,,,,,,,,
88,Michael Turner,Running back,,Atlanta Falcons,88,2011.0,,46,,,,,,,,,,,
89,Dwight Freeney,Defensive end,,Indianapolis Colts,89,2011.0,,74,,,,,,,,,,,
90,Hakeem Nicks,Wide receiver,,New York Giants,90,2011.0,,NR,,,,,,,,,,,
91,Tony Romo,Quarterback,,Dallas Cowboys,91,2011.0,,19,,,,,,,,,,,
92,John Kuhn,Fullback,,Green Bay Packers,92,2011.0,,NR,,,,,,,,,,,
93,Cortland Finnegan,Cornerback,,Tennessee Titans,93,2011.0,St. Louis Rams,NR,,,,,,,,,,,
94,Marshawn Lynch,Running back,,Seattle Seahawks,94,2011.0,,NR,,,,,,,,,,,
95,Tim Tebow,Quarterback,,Denver Broncos,95,2011.0,New York Jets,NR,,,,,,,,,,,
96,D'Qwell Jackson,Linebacker,,Cleveland Browns,96,2011.0,,NR,,,,,,,,,,,
97,Donald Penn,Offensive tackle,,Tampa Bay Buccaneers,97,2011.0,,NR,,,,,,,,,,,
98,Willis McGahee,Running back,,Denver Broncos,98,2011.0,,NR,,,,,,,,,,,
99,Ryan Kalil,Center,,Carolina Panthers,99,2011.0,,NR,,,,,,,,,,,
100,Chris Johnson,Running back,,Tennessee Titans,100,2011.0,,87,,,,,,,,,,,
1,Adrian Peterson,Running back,,,1,2012.0,Minnesota Vikings,7,,,,,,,,,,,
2,Peyton Manning,Quarterback,,,2,2012.0,Denver Broncos,48,,,,,,,,,,,
3,Calvin Johnson,Wide receiver,,,3,2012.0,Detroit Lions,0,,,,,,,,,,,
4,Tom Brady,Quarterback,,,4,2012.0,New England Patriots,0,,,,,,,,,,,
5,J. J. Watt,Defensive end,,,5,2012.0,Houston Texans,NR,,,,,,,,,,,
6,Aaron Rodgers,Quarterback,,,6,2012.0,Green Bay Packers,5,,,,,,,,,,,
7,Aldon Smith,Linebacker,,,7,2012.0,San Francisco 49ers,NR,,,,,,,,,,,
8,Arian Foster,Running back,,,8,2012.0,Houston Texans,17,,,,,,,,,,,
9,Von Miller,Linebacker,,,9,2012.0,Denver Broncos,43,,,,,,,,,,,
10,Patrick Willis,Linebacker,,,10,2012.0,San Francisco 49ers,0,,,,,,,,,,,
11,Drew Brees,Quarterback,,,11,2012.0,New Orleans Saints,9,,,,,,,,,,,
12,DeMarcus Ware,Linebacker,,,12,2012.0,Dallas Cowboys,6,,,,,,,,,,,
13,Ray Rice,Running back,,,13,2012.0,Baltimore Ravens,9,,,,,,,,,,,
14,Andre Johnson,Wide receiver,,,14,2012.0,Houston Texans,1,,,,,,,,,,,
15,Robert Griffin III,Quarterback,,,15,2012.0,Washington Redskins,NR,,,,,,,,,,,
16,A. J. Green,Wide receiver,,,16,2012.0,Cincinnati Bengals,61,,,,,,,,,,,
17,Matt Ryan,Quarterback,,,17,2012.0,Atlanta Falcons,NR,,,,,,,,,,,
18,Ed Reed,Safety,,,18,2012.0,Baltimore Ravens,2,Houston Texans / New York Jets,,,,,,,,,,
19,Joe Flacco,Quarterback,,,19,2012.0,Baltimore Ravens,55,,,,,,,,,,,
20,Jamaal Charles,Running back,,,20,2012.0,Kansas City Chiefs,NR,,,,,,,,,,,
21,Reggie Wayne,Wide receiver,,,21,2012.0,Indianapolis Colts,NR,,,,,,,,,,,
22,Larry Fitzgerald,Wide receiver,,,22,2012.0,Arizona Cardinals,15,,,,,,,,,,,
23,Andrew Luck,Quarterback,,,23,2012.0,Indianapolis Colts,NR,,,,,,,,,,,
24,Marshawn Lynch,Running back,,,24,2012.0,Seattle Seahawks,70,,,,,,,,,,,
25,Rob Gronkowski,Tight end,,,25,2012.0,New England Patriots,4,,,,,,,,,,,
26,Julio Jones,Wide receiver,,,26,2012.0,Atlanta Falcons,NR,,,,,,,,,,,
27,Brandon Marshall,Wide receiver,,,27,2012.0,Chicago Bears,NR,,,,,,,,,,,
28,Joe Thomas,Offensive tackle,,,28,2012.0,Cleveland Browns,54,,,,,,,,,,,
29,Justin Smith,Defensive end,,,29,2012.0,San Francisco 49ers,12,,,,,,,,,,,
30,Vince Wilfork,Defensive tackle,,,30,2012.0,New England Patriots,51,,,,,,,,,,,
31,Clay Matthews,Linebacker,,,31,2012.0,Green Bay Packers,4,,,,,,,,,,,
32,Frank Gore,Running back,,,32,2012.0,San Francisco 49ers,4,,,,,,,,,,,
33,Patrick Peterson,Cornerback,,,33,2012.0,Arizona Cardinals,22,,,,,,,,,,,
34,Charles Tillman,Cornerback,,,34,2012.0,Chicago Bears,NR,,,,,,,,,,,
35,Dez Bryant,Wide receiver,,,35,2012.0,Dallas Cowboys,NR,,,,,,,,,,,
36,Geno Atkins,Defensive tackle,,,36,2012.0,Cincinnati Bengals,NR,,,,,,,,,,,
37,NaVorro Bowman,Linebacker,,,37,2012.0,San Francisco 49ers,48,,,,,,,,,,,
38,Vernon Davis,Tight end,,,38,2012.0,San Francisco 49ers,5,,,,,,,,,,,
39,Roddy White,Wide receiver,,,39,2012.0,Atlanta Falcons,26,,,,,,,,,,,
40,Ndamukong Suh,Defensive tackle,,,40,2012.0,Detroit Lions,2,,,,,,,,,,,
41,Jason Witten,Tight end,,,41,2012.0,Dallas Cowboys,34,,,,,,,,,,,
42,Haloti Ngata,Defensive tackle,,,42,2012.0,Baltimore Ravens,33,,,,,,,,,,,
43,Eli Manning,Quarterback,,,43,2012.0,New York Giants,12,,,,,,,,,,,
44,Wes Welker,Wide receiver,,,44,2012.0,New England Patriots,21,Denver Broncos,,,,,,,,,,
45,LeSean McCoy,Running back,,,45,2012.0,Philadelphia Eagles,27,,,,,,,,,,,
46,Cam Newton,Quarterback,,,46,2012.0,Carolina Panthers,6,,,,,,,,,,,
47,Tony Gonzalez,Tight end,,,47,2012.0,Atlanta Falcons,6,,,,,,,,,,,
48,Duane Brown,Offensive tackle,,,48,2012.0,Houston Texans,NR,,,,,,,,,,,
49,Justin Houston,Linebacker,,,49,2012.0,Kansas City Chiefs,NR,,,,,,,,,,,
50,Richard Sherman,Cornerback,,,50,2012.0,Seattle Seahawks,NR,,,,,,,,,,,
51,Russell Wilson,Quarterback,,,51,2012.0,Seattle Seahawks,NR,,,,,,,,,,,
52,Vincent Jackson,Wide receiver,,,52,2012.0,Tampa Bay Buccaneers,NR,,,,,,,,,,,
53,Champ Bailey,Cornerback,,,53,2012.0,Denver Broncos,7,,,,,,,,,,,
54,Julius Peppers,Defensive end,,,54,2012.0,Chicago Bears,28,,,,,,,,,,,
55,Jason Pierre-Paul,Defensive end,,,55,2012.0,New York Giants,31,,,,,,,,,,,
56,Terrell Suggs,Linebacker,,,56,2012.0,Baltimore Ravens,45,,,,,,,,,,,
57,Doug Martin,Running back,,,57,2012.0,Tampa Bay Buccaneers,NR,,,,,,,,,,,
58,Victor Cruz,Wide receiver,,,58,2012.0,New York Giants,19,,,,,,,,,,,
59,Derrick Johnson,Linebacker,,,59,2012.0,Kansas City Chiefs,19,,,,,,,,,,,
60,Jared Allen,Defensive end,,,60,2012.0,Minnesota Vikings,47,,,,,,,,,,,
61,Ben Roethlisberger,Quarterback,,,61,2012.0,Pittsburgh Steelers,31,,,,,,,,,,,
62,Chris Johnson,Running back,,,62,2012.0,Tennessee Titans,38,,,,,,,,,,,
63,Stephen Tulloch,Linebacker,,,63,2012.0,Detroit Lions,NR,,,,,,,,,,,
64,Alfred Morris,Running back,,,64,2012.0,Washington Redskins,NR,,,,,,,,,,,
65,Dwayne Bowe,Wide receiver,,,65,2012.0,Kansas City Chiefs,NR,,,,,,,,,,,
66,Earl Thomas,Safety,,,66,2012.0,Seattle Seahawks,0,,,,,,,,,,,
67,Darrelle Revis,Cornerback,,,67,2012.0,New York Jets,62,Tampa Bay Buccaneers,,,,,,,,,,
68,Demaryius Thomas,Wide receiver,,,68,2012.0,Denver Broncos,NR,,,,,,,,,,,
69,Tim Jennings,Cornerback,,,69,2012.0,Chicago Bears,NR,,,,,,,,,,,
70,Chad Greenway,Linebacker,,,70,2012.0,Minnesota Vikings,NR,,,,,,,,,,,
71,Trent Richardson,Running back,,,71,2012.0,Cleveland Browns,NR,Cleveland Browns / Indianapolis Colts,,,,,,,,,,
72,Mario Williams,Defensive end,,,72,2012.0,Buffalo Bills,NR,,,,,,,,,,,
73,Antonio Gates,Tight end,,,73,2012.0,San Diego Chargers,NR,,,,,,,,,,,
74,Robert Mathis,Defensive end,,,74,2012.0,Indianapolis Colts,NR,,,,,,,,,,,
75,Brandon Flowers,Cornerback,,,75,2012.0,Kansas City Chiefs,NR,,,,,,,,,,,
76,Matthew Stafford,Quarterback,,,76,2012.0,Detroit Lions,35,,,,,,,,,,,
77,Aaron Hernandez,Tight end,,,77,2012.0,New England Patriots,NR,None,,,,,,,,,,
78,Joe Staley,Offensive tackle,,,78,2012.0,San Francisco 49ers,11,,,,,,,,,,,
79,Luke Kuechly,Linebacker,,,79,2012.0,Carolina Panthers,NR,,,,,,,,,,,
80,Dwight Freeney,Defensive end,,,80,2012.0,Indianapolis Colts,9,San Diego Chargers,,,,,,,,,,
81,Colin Kaepernick,Quarterback,,,81,2012.0,San Francisco 49ers,NR,,,,,,,,,,,
82,Logan Mankins,Guard,,,82,2012.0,New England Patriots,18,,,,,,,,,,,
83,Lance Briggs,Linebacker,,,83,2012.0,Chicago Bears,11,,,,,,,,,,,
84,Steve Smith,Wide receiver,,,84,2012.0,Carolina Panthers,49,,,,,,,,,,,
85,Charles Woodson,Cornerback,,,85,2012.0,Green Bay Packers,49,Oakland Raiders,,,,,,,,,,
